Criteria.Name,WQP.Name,DEQ.Table.name
"2,4-D","2,4-D","2,4-D"
"2,4-Dinitrotoluene","2,4-Dinitrotoluene","2,4-Dinitrotoluene"
Acenaphthene,Acenaphthene,Acenaphthene
Acrolein,Acrolein,Acrolein
Acrylonitrile,Acrylonitrile,Acrylonitrile
Aldrin,Aldrin,Aldrin
Alkalinity,Alkalinity,Alkalinity
Ammonia as N,Ammonia,Ammonia
Ammonia as N,Ammonia as N,Ammonia
Anthracene,Anthracene,Anthracene
"Antimony, Total recoverable",Antimony,Antimony
"Arsenic, Total inorganic",Arsenic,Arsenic (inorganic)
"Arsenic, Total recoverable",Arsenic,Arsenic (inorganic)
"Arsenic, Dissolved",Arsenic,Arsenic (inorganic)
"Arsenic, Dissolved",Arsenic ion (3+),Arsenic (inorganic)
"Arsenic, Dissolved",Arsenic ion (5+),Arsenic (inorganic)
"Barium, Total recoverable",Barium,Barium
Benzo(a)anthracene,Benz[a]anthracene,Benz(a)anthracene
Benzene,Benzene,Benzene
Benzidine,Benzidine,Benzidine
Benzo(a)pyrene,Benzo[a]pyrene,Benzo(a)pyrene
Benzo[b]fluoranthene,Benzo(b)fluoranthene,"Benzo(b)fluoranthene 3,4"
Benzo[k]fluoranthene,Benzo[k]fluoranthene,Benzo[k]fluoranthene
alpha-BHC,.alpha.-Hexachlorocyclohexane,BHC Alpha
beta-BHC,.beta.-Hexachlorocyclohexane,BHC Beta
Lindane,Lindane,BHC Gamma (Lindane)
Bromoform,Tribromomethane,Bromoform
Butylbenzylphthalate,Butyl benzyl phthalate,Butylbenzyl Phthalate
"Cadmium, Dissolved",Cadmium,Cadmium
Carbon Tetrachloride,Carbon tetrachloride,Carbon Tetrachloride
Chlordane,Chlordane,Chlordane
Chloride,Chloride,Chloride
Chlorine,Chlorine,Chlorine
Chlorobenzene,Chlorobenzene,Chlorobenzene
Chlorodibromomethane,Chlorodibromomethane,Chlorodibromomethane
Chloroethyl Ether bis 2,Bis(2-chloroethyl) ether,Chloroethyl Ether bis 2
Chloroform,Chloroform,Chloroform
Chloroisopropyl Ether bis 2,Bis(2-chloroisopropyl) ether,Chloroisopropyl Ether bis 2
"Chloromethyl ether, bis",Bis(chloromethyl) ether,"Chloromethyl ether, bis"
Chloronaphthalene 2,2-Chloronaphthalene,Chloronaphthalene 2
Chlorophenol 2,2-Chloronaphthalene,Chlorophenol 2
"Chlorophenoxy Herbicide (2,4,5,-TP)",Silvex,"Chlorophenoxy Herbicide (2,4,5,-TP)"
Chlorpyrifos (Dursban),Chlorpyrifos,Chlorpyrifos
"Chromium, Dissolved",Chromium,Chromium VI
Chromium (Tri),Chromium(III),Chromium III
Chromium (Hex),Chromium(VI),Chromium VI
Chrysene,Chrysene,Chrysene
"Copper, Total recoverable",Copper,Copper
"Copper, Dissolved",Copper,Copper
Cyanide,Cyanide,Cyanide
"4,4`-DDD","p,p'-DDT","DDD 4,4'"
"4,4`-DDE","p,p'-DDE","DDE 4,4'"
"4,4`-DDT","p,p'-DDD","DDT 4,4'"
Total DDT,"DDT/DDD/DDE, sum of p,p' isomers",Total DDT
Demeton,Demeton,Demeton
"Dibenz[a,h]anthracene","Dibenz[a,h]anthracene","Dibenz[a,h]anthracene"
"Dichlorobenzene(m) 1,3",m-Dichlorobenzene,"Dichlorobenzene(m) 1,3"
"Dichlorobenzene(o) 1,2",o-Dichlorobenzene,"Dichlorobenzene(o) 1,2"
"Dichlorobenzene(p) 1,4",p-Dichlorobenzene,"Dichlorobenzene(p) 1,4"
"Dichlorobenzidine 3,3'","3,3'-Dichlorobenzidine","Dichlorobenzidine 3,3'"
Dichlorobromomethane,Dichlorobromomethane,Dichlorobromomethane
"Dichloroethane 1,2","1,2-Dichloroethane","Dichloroethane 1,2"
"Dichloroethylene 1,1","1,1-Dichloroethylene","Dichloroethylene 1,1"
"Dichloroethylene trans 1,2","trans-1,2-Dichloroethylene","Dichloroethylene trans 1,2"
"Dichlorophenol 2,4","2,4-Dichlorophenol","Dichlorophenol 2,4"
"Dichloropropane 1,2","1,2-Dichloropropane","Dichloropropane 1,2"
"Dichloropropene 1,3","1,3-Dichloropropene","Dichloropropene 1,3"
Dieldrin,Dieldrin,Dieldrin
Diethylphthalate,Diethyl phthalate,Diethyl Phthalate
Dimethylphthalate,Dimethyl phthalate,Dimethyl Phthalate
"Dimethylphenol 2,4","2,4-Dimethylphenol","Dimethylphenol 2,4"
Di-n-butyl Phthalate,Dibutyl phthalate,Di-n-butyl Phthalate
"Dinitrophenol 2,4","2,4-Dinitrophenol","Dinitrophenol 2,4"
Dinitrophenols,Dinitrophenol,Dinitrophenols
"Dioxin (2,3,7,8-TCDD)","2,3,7,8-Tetrachlorodibenzo-p-dioxin","Dioxin (2,3,7,8-TCDD)"
"Diphenylhydrazine 1,2","1,2-Diphenylhydrazine","Diphenylhydrazine 1,2"
Endosulfan,Endosulfan,Endosulfan
Endosulfan I,.alpha.-Endosulfan,Endosulfan Alpha
Endosulfan II,.beta.-Endosulfan,Endosulfan Beta
Endosulfan Sulfate,Endosulfan sulfate,Endosulfan Sulfate
Endrin,Endrin,Endrin
Endrin Aldehyde,Endrin aldehyde,Endrin Aldehyde
Ethylbenzene,Ethylbenzene,Ethylbenzene
Bis(2-ethylhexyl)phthalate,Di(2-ethylhexyl) phthalate,Ethylhexyl Phthalate bis 2
Fluoranthene,Fluoranthene,Fluoranthene
Fluorene,Fluorene,Fluorene
Azinphos methyl,Azinphos-methyl,Guthion
Guthion,Azinphos-methyl,Guthion
Heptachlor,Heptachlor,Heptachlor
Heptachlor Epoxide,Heptachlor epoxide,Heptachlor Epoxide
Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene
Hexachlorobutadiene,Hexachlorobutadiene,Hexachlorobutadiene
Hexachlorocyclo-hexane-Technical,"1,2,3,4,5,6-Hexachlorocyclohexane",Hexachlorocyclo-hexane-Technical
Hexachlorocyclopentadiene,Hexachlorocyclopentadiene,Hexachlorocyclopentadiene
Hexachloroethane,Hexachloroethane,Hexachloroethane
"Indeno[1,2,3-cd]pyrene","Indeno[1,2,3-cd]pyrene","Indeno[1,2,3-cd]pyrene"
"Iron, Total recoverable",Iron,Iron (total)
Isophorone,Isophorone,Isophorone
"Lead, Dissolved",Lead,Lead
Malathion,Malathion,Malathion
"Manganese, Total recoverable",Manganese,Manganese
Mercury,Mercury,Mercury (total)
Methoxychlor,Methoxychlor,Methoxychlor
Methyl Bromide,Methyl bromide,Methyl Bromide
"Methyl-4,6-dinitrophenol 2","4,6-Dinitro-o-cresol","Methyl-4,6-dinitrophenol 2"
Methylene Chloride,Methylene chloride,Methylene Chloride
Mirex,Mirex,Mirex
"Nickel, Total recoverable",Nickel,Nickel
"Nickel, Dissolved",Nickel,Nickel
Nitrates,Nitrate,Nitrates
Nitrobenzene,Nitrobenzene,Nitrobenzene
Nitrosamines,Nitrosamine,Nitrosamines
"Nitrosodibutylamine, N",N-Nitrosodi-n-butylamine,"Nitrosodibutylamine, N"
"Nitrosodiethylamine, N",N-Nitrosodiethylamine,"Nitrosodiethylamine, N"
"Nitrosodimethylamine, N",N-Nitrosodimethylamine,"Nitrosodimethylamine, N"
"Nitrosodi-n-propylamine, N",N-Nitrosodi-n-propylamine,"Nitrosodi-n-propylamine, N"
"Nitrosodiphenylamine, N",N-Nitrosodiphenylamine,"Nitrosodiphenylamine, N"
"Nitrosopyrrolidine, N",N-Nitrosopyrrolidine,"Nitrosopyrrolidine, N"
Parathion,Parathion,Parathion
Pentachlorobenzene,Pentachlorobenzene,Pentachlorobenzene
Pentachlorophenol,Pentachlorophenol,Pentachlorophenol
Phenol,Phenol,Phenol
Phosphorus Elemental,Phosphorus,Phosphorus Elemental
Polychlorinated Biphenyls (PCBs),,Polychlorinated Biphenyls (PCBs)
Pyrene,Pyrene,Pyrene
"Selenium, Total recoverable",Selenium,Selenium
"Selenium, Dissolved",Selenium,Selenium
"Silver, Dissolved",Silver,Silver
Sulfide Hydrogen Sulfide,Hydrogen sulfide,Sulfide Hydrogen Sulfide
"Tetrachlorobenzene, 1,2,4,5-","1,2,4,5-Tetrachlorobenzene","Tetrachlorobenzene, 1,2,4,5-"
"Tetrachloroethane 1,1,2,2","1,1,2,2-Tetrachloroethane","Tetrachloroethane 1,1,2,2"
Tetrachloroethylene,Tetrachloroethylene,Tetrachloroethylene
"Thallium, Total recoverable",Thallium,Thallium
Toluene,Toluene,Toluene
Toxaphene,Toxaphene,Toxaphene
Tributyltin,Tributlytin,Tributyltin (TBT)
"Trichlorobenzene 1,2,4","1,2,4-Trichlorobenzene","Trichlorobenzene 1,2,4"
"Trichloroethane 1,1,2","1,1,2-Trichloroethane","Trichloroethane 1,1,2"
Trichloroethylene,Trichloroethylene,Trichloroethylene
"Trichlorophenol 2,4,6","2,4,6-Trichlorophenol","Trichlorophenol 2,4,6"
"Trichlorophenol, 2, 4, 5-","2,4,5-Trichlorophenol","Trichlorophenol, 2, 4, 5-"
Vinyl Chloride,Vinyl chloride,Vinyl Chloride
"Zinc, Total recoverable",Zinc,Zinc
"Zinc, Dissolved",Zinc,Zinc
