"Segment_ID","Assessment","Record_ID","Stream_Lak","Stream_Nam","Lake_Name","Beach_Name","LLID_Strea","LLID_Str_1","LLID_Lake","EPA_Beach_","HUC_4th_Co","HUC_4th_Na","HUC_3rd_Na","Miles","RM1","RM2","SegmentMil","Pollutant","Pollutant_","Season","Season_ID","Assessme_1","Assessme_2","Action","Action_ID","Criteria","Criteria_I","AffectedUs","Listing_St","Status_ID","PreviousSt","PreviousAc","ListingYea","TMDLInfo","Comments","Summary","Shape_Leng","PlanName"
8736,28102,23673,"Lemiti Creek Trib","Lemiti Creek Trib",NA,NA,"1217917449041","1217917449041",NA,NA,"17090011","Clackamas","Willamette","0 to 2",0,2,2,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:   
LASAR 26793 River Mile 0.3 FROM 7/3/2002 To 7/3/2002 1 out of 1 (100%) samples outside WCCP regional criteria.",10522.8686536,"Clackamas"
1284,28123,23368,"Hot Springs Fk Collawash River","Hot Springs Fk Collawash River",NA,NA,"1220653449851","1220653449851",NA,NA,"17090011","Clackamas","Willamette","0 to 14.2",0,14.2,14.2,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:  LASAR 35719 River Mile 6.8 FROM 8/12/1998 To 8/12/1998 1 out of 1 (100%) samples outside WCCP regional criteria.

Previous DEQ 2010 Data: 
LASAR 35730 River Mile 1.65 FROM 8/12/1998 To 8/12/1998 0 out of 1 (0%)",73792.0513888,"Clackamas"
1403,28142,23383,"North Fork Deep Creek","North Fork Deep Creek",NA,NA,"1224107453935","1224107453935",NA,NA,"17090011","Clackamas","Willamette","0 to 9",0,9,9,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:   
LASAR 32448 River Mile 3.1 FROM 7/21/2005 To 7/21/2005 1 out of 1 (100%) samples outside MWCF regional criteria.
LASAR 32446 River Mile 3.13 FROM 7/21/2005 To 7/21/2005 1 out of 1 (100%) samples outside MWCF reg",47252.754977,"Clackamas"
31127,28117,23995,"Dickey Creek","Dickey Creek",NA,NA,"1220363449475","1220363449475",NA,NA,"17090011","Clackamas","Willamette","1.7 to 5.5",1.7,5.5,3.8,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:   
LASAR 35718 River Mile 1.72 FROM 8/12/1998 To 8/12/1998 1 out of 1 (100%) samples outside WCCP regional criteria.",19711.8791744,"Clackamas"
9010,28139,23712,"Eagle Creek","Eagle Creek",NA,NA,"1223833453520","1223833453520",NA,NA,"17090011","Clackamas","Willamette","0 to 25.4",0,25.4,25.4,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:   
LASAR 35772 River Mile 0.03 FROM 8/17/1999 To 8/17/1999 1 out of 1 (100%) samples outside WCCP regional criteria.
LASAR 33905 River Mile 1.77 FROM 9/5/2006 To 9/5/2006 0 out of 1 (0%) samples outside MWCF region",132734.13623,"Clackamas"
31146,28137,24014,"Unnamed Stream","Unnamed Stream",NA,NA,"1223214454074","1223214454074",NA,NA,"17090011","Clackamas","Willamette","0 to 2.5",0,2.5,2.5,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:  LASAR 33494 River Mile 1.94 FROM 7/19/2006 To 7/19/2006 1 out of 1 (100%) samples outside MWCF regional criteria.",13174.6070958,"Clackamas"
31167,28166,24034,"Tour Creek","Tour Creek",NA,NA,"1225809453624","1225809453624",NA,NA,"17090007","Middle Willamette","Willamette","0 to 1.2",0,1.2,1.2,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:   
LASAR 33492 River Mile 0.7 FROM 8/10/2006 To 8/10/2006 1 out of 1 (100%) samples outside MWCF regional criteria.",6302.49461287,"Clackamas"
9181,28180,23731,"Tualatin River","Tualatin River",NA,NA,"1226500453377","1226500453377",NA,NA,"17090010","Tualatin","Willamette","0 to 80.7",0,80.7,80.7,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:   
LASAR 33855 River Mile 1.28 FROM 9/18/2006 To 9/18/2006 1 out of 1 (100%) samples outside MWCF regional criteria.",413647.856561,"Clackamas"
9125,28171,23726,"Clackamas River","Clackamas River",NA,NA,"1226050453723","1226050453723",NA,NA,"17090011","Clackamas","Willamette","0 to 83.2",0,83.2,83.2,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:   
LASAR 33906 River Mile 59.41 FROM 9/6/2006 To 9/6/2006 1 out of 1 (100%) samples outside WCCP regional criteria.",437824.272675,"Clackamas"
31182,28192,24048,"Unnamed Stream","Unnamed Stream",NA,NA,"1227428453006","1227428453006",NA,NA,"17090007","Middle Willamette","Willamette","0 to 1.5",0,1.5,1.5,"Biological Criteria",4,"Year Around",3,2010,"2013/01/29","Status modification - EPA addition to 303(d) list",23,"Biocriteria:  Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 3C: Impairing pollutant unknown","Previous Action: Added to database","Previous Assessment Year:  2010",NA,NA,"EPA addition to 303(d) list 12/14/2012:  LASAR 33496 River Mile 1.05 FROM 7/18/2006 To 7/18/2006 1 out of 1 (100%) samples outside MWCF regional criteria.",7815.57644879,"Clackamas"
