"Segment_ID","Assessment","Record_ID","Stream_Lak","Stream_Nam","Lake_Name","Beach_Name","LLID_Strea","LLID_Str_1","LLID_Lake","EPA_Beach_","HUC_4th_Co","HUC_4th_Na","HUC_3rd_Na","Miles","RM1","RM2","SegmentMil","Pollutant","Pollutant_","Season","Season_ID","Assessme_1","Assessme_2","Action","Action_ID","Criteria","Criteria_I","AffectedUs","Listing_St","Status_ID","PreviousSt","PreviousAc","ListingYea","TMDLInfo","Comments","Summary","Shape_Leng","PlanName"
3176,25935,9362,"Tickle Creek","Tickle Creek",NA,NA,"1223744453954","1223744453954",NA,NA,"17090011","Clackamas","Willamette","0 to 2.3",0,2.3,2.3,"E. Coli",2,"Summer",1,2010,"2010/10/29","Delisted - TMDL approved",8,"30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml",1,"Water contact recreation","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: 303(d)","Previous Action: Added to database","2002","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"Previous Data: 
Clackamas County data. Site 503 RM 1: 3/8 samples > 406.",11991.8609578,"Clackamas"
8867,26232,13393,"Nohorn Creek","Nohorn Creek",NA,NA,"1221677449531","1221677449531",NA,NA,"17090011","Clackamas","Willamette","0 to 1.8",0,1.8,1.8,"Temperature",12,"September 1 - June 15",49,2010,"2010/10/29","Delisted - TMDL approved",8,"Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum",31,"Salmon and steelhead spawning","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[DEQ] LASAR 23917 River Mile 1.5: From 9/1/2000 to 9/17/2000, 5 days with 7-day-average maximum > 13 degrees Celsius.",9411.20425133,"Clackamas"
9010,25976,12877,"Eagle Creek","Eagle Creek",NA,NA,"1223833453520","1223833453520",NA,NA,"17090011","Clackamas","Willamette","0 to 25.4",0,25.4,25.4,"Temperature",12,"Year Around (Non-spawning)",71,2010,"2010/10/29","Delisted - TMDL approved",8,"Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",33,"Core cold water habitat","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[DEQ] LASAR 25777 River Mile 5.7: From 6/16/2001 to 8/31/2001, 58 days with 7-day-average maximum > 16 degrees Celsius.",132734.13623,"Clackamas"
8977,25971,12865,"Bear Creek","Bear Creek",NA,NA,"1222817453278","1222817453278",NA,NA,"17090011","Clackamas","Willamette","0 to 4.8",0,4.8,4.8,"Temperature",12,"Year Around (Non-spawning)",71,2010,"2010/10/29","Delisted - TMDL approved",8,"Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",33,"Core cold water habitat","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[USFS-W/F] LASAR 31071 River Mile 0.1: From 7/13/2002 to 9/6/2002, 26 days with 7-day-average maximum > 16 degrees Celsius.",25160.4743156,"Clackamas"
1280,25961,12820,"Collawash River","Collawash River",NA,NA,"1220612450320","1220612450320",NA,NA,"17090011","Clackamas","Willamette","0 to 12.2",0,12.2,12.2,"Temperature",12,"Year Around (Non-spawning)",71,2010,"2010/10/29","Delisted - TMDL approved",8,"Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",33,"Core cold water habitat","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[DEQ] LASAR 24460 River Mile 0.4: From 7/9/2000 to 8/31/2000, 52 days with 7-day-average maximum > 16 degrees Celsius.",63726.2006003,"Clackamas"
1351,25972,12867,"North Fork Eagle Creek","North Fork Eagle Creek",NA,NA,"1222892453251","1222892453251",NA,NA,"17090011","Clackamas","Willamette","0 to 13.1",0,13.1,13.1,"Temperature",12,"Year Around (Non-spawning)",71,2010,"2010/10/29","Delisted - TMDL approved",8,"Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",33,"Core cold water habitat","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[BLM - Salem] LASAR 31089 River Mile 0.6: From 7/3/2000 to 9/16/2002, 68 days with 7-day-average maximum > 16 degrees Celsius.
[DEQ] LASAR 21870 River Mile 2.6: From 7/11/1999 to 8/29/1999, 35 days with 7-day-average maximum > 16 degrees Ce",68617.5257914,"Clackamas"
9008,26233,13398,"Eagle Creek","Eagle Creek",NA,NA,"1223833453520","1223833453520",NA,NA,"17090011","Clackamas","Willamette","0 to 15.6",0,15.6,15.6,"Temperature",12,"September 1 - June 15",49,2010,"2010/10/29","Delisted - TMDL approved",8,"Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum",31,"Salmon and steelhead spawning","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[DEQ] LASAR 25777 River Mile 5.7: From 5/28/2001 to 9/8/2001, 10 days with 7-day-average maximum > 13 degrees Celsius.",81349.0240047,"Clackamas"
8834,26231,13389,"Collawash River","Collawash River",NA,NA,"1220612450320","1220612450320",NA,NA,"17090011","Clackamas","Willamette","0 to 7.7",0,7.7,7.7,"Temperature",12,"September 1 - June 15",49,2010,"2010/10/29","Delisted - TMDL approved",8,"Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum",31,"Salmon and steelhead spawning","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[DEQ] LASAR 24460 River Mile 0.4: From 9/1/2000 to 9/2/2000, 2 days with 7-day-average maximum > 13 degrees Celsius.",40343.9555606,"Clackamas"
1300,25965,12834,"Fish Creek","Fish Creek",NA,NA,"1221528451579","1221528451579",NA,NA,"17090011","Clackamas","Willamette","0 to 13.2",0,13.2,13.2,"Temperature",12,"Year Around (Non-spawning)",71,2010,"2010/10/29","Delisted - TMDL approved",8,"Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",33,"Core cold water habitat","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"2004 Data: 
[DEQ] LASAR 21871 River Mile 7.5: From 6/16/1999 to 8/29/1999, 0 days with 7-day-average maximum > 16 degrees Celsius.
[DEQ] LASAR 21872 River Mile 4.6: From 6/16/1999 to 8/29/1999, 37 days with 7-day-average maximum > 16 degrees Celsius.",69099.2077639,"Clackamas"
1403,25934,9361,"North Fork Deep Creek","North Fork Deep Creek",NA,NA,"1224107453935","1224107453935",NA,NA,"17090011","Clackamas","Willamette","0 to 9",0,9,9,"E. Coli",2,"Summer",1,2010,"2010/10/29","Delisted - TMDL approved",8,"30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml",1,"Water contact recreation","Cat 4A:  Water quality limited, TMDL approved",14,"Previous Status: 303(d)","Previous Action: Added to database","2002","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",NA,"Previous Data: 
Clackamas county data. Site 401 RM 5: 5/8 samples > 406.",47252.754977,"Clackamas"
